#TAG,NAME IN REPO,PURPOSE
,autoconf,"from base-devel package group"
,automake,"from base-devel package group"
,binutils,"from base-devel package group"
,bison,"from base-devel package group"
,file,"from base-devel package group"
,findutils,"from base-devel package group"
,flex,"from base-devel package group"
,gawk,"from base-devel package group"
,gcc,"from base-devel package group"
,gettext,"from base-devel package group"
,grep,"from base-devel package group"
,groff,"from base-devel package group"
,gzip,"from base-devel package group"
,libtool,"from base-devel package group"
,m4,"from base-devel package group"
,make,"from base-devel package group"
,pacman,"from base-devel package group"
,patch,"from base-devel package group"
,pkgconf,"from base-devel package group"
,sed,"from base-devel package group"
,sudo,"from base-devel package group"
,texinfo,"from base-devel package group"
,which,"from base-devel package group"
,zsh,"ZSH shell"
A,lf-git,"is an extensive terminal file manager that everyone likes."
,man-db,"man database"
,man-pages,"man pages"
,wget,"an app to download files from the cloud"
,calcurse,"is a lightweight terminal-based calendar."
,neovim,"a tidier vim with some useful features"
,newsboat,"is a terminal RSS client."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,socat,"is a socket utility."
,tmux,"is a terminal multiplexer and the dropdown window."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
V,ts,"queues commands or files for download."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,ctags,"Used by vim to index code tags"
A,zsh-theme-powerlevel10k-git,"A ZSH theme"
A,zsh-autosuggestions,"Auto-suggestions for ZSH"
